16:36:00.832 [SDK回调] type=0x00, machineID=0, channelID=0, dataCount=200, bufferCount=12800
16:36:01.051 [SDK回调] type=0x00, machineID=0, channelID=0, dataCount=200, bufferCount=12800
16:36:01.270 [SDK回调] type=0x00, machineID=0, channelID=0, dataCount=200, bufferCount=12800
16:36:01.488 [SDK回调] type=0x00, machineID=0, channelID=0, dataCount=200, bufferCount=12800
16:36:01.706 [SDK回调] type=0x00, machineID=0, channelID=0, dataCount=200, bufferCount=12800
16:36:01.926 [SDK回调] type=0x00, machineID=0, channelID=0, dataCount=200, bufferCount=12800
16:36:02.145 [SDK回调] type=0x00, machineID=0, channelID=0, dataCount=200, bufferCount=12800
16:36:02.362 [SDK回调] type=0x00, machineID=0, channelID=0, dataCount=200, bufferCount=12800
16:36:02.580 [SDK回调] type=0x00, machineID=0, channelID=0, dataCount=200, bufferCount=12800
16:36:02.798 [SDK回调] type=0x00, machineID=0, channelID=0, dataCount=200, bufferCount=12800
16:36:03.017 [SDK回调] type=0x00, machineID=0, channelID=0, dataCount=200, bufferCount=12800
16:36:03.234 [SDK回调] type=0x00, machineID=0, channelID=0, dataCount=200, bufferCount=12800
16:36:03.452 [SDK回调] type=0x00, machineID=0, channelID=0, dataCount=200, bufferCount=12800
16:36:03.671 [SDK回调] type=0x00, machineID=0, channelID=0, dataCount=200, bufferCount=12800
16:36:03.892 [SDK回调] type=0x00, machineID=0, channelID=0, dataCount=200, bufferCount=12800
16:36:04.109 [SDK回调] type=0x00, machineID=0, channelID=0, dataCount=200, bufferCount=12800
16:36:04.327 [SDK回调] type=0x00, machineID=0, channelID=0, dataCount=200, bufferCount=12800
16:36:04.543 [SDK回调] type=0x00, machineID=0, channelID=0, dataCount=200, bufferCount=12800
16:36:04.761 [SDK回调] type=0x00, machineID=0, channelID=0, dataCount=200, bufferCount=12800
16:36:04.979 [SDK回调] type=0x00, machineID=0, channelID=0, dataCount=200, bufferCount=12800
16:36:05.196 [SDK回调] type=0x00, machineID=0, channelID=0, dataCount=200, bufferCount=12800
16:36:05.415 [SDK回调] type=0x00, machineID=0, channelID=0, dataCount=200, bufferCount=12800
16:36:05.634 [SDK回调] type=0x00, machineID=0, channelID=0, dataCount=200, bufferCount=12800
16:36:05.852 [SDK回调] type=0x00, machineID=0, channelID=0, dataCount=200, bufferCount=12800
16:36:06.071 [SDK回调] type=0x00, machineID=0, channelID=0, dataCount=200, bufferCount=12800
16:36:06.290 [SDK回调] type=0x00, machineID=0, channelID=0, dataCount=200, bufferCount=12800
16:36:06.508 [SDK回调] type=0x00, machineID=0, channelID=0, dataCount=200, bufferCount=12800
16:36:06.741 [SDK回调] type=0x00, machineID=0, channelID=0, dataCount=200, bufferCount=12800
16:36:06.958 [SDK回调] type=0x00, machineID=0, channelID=0, dataCount=200, bufferCount=12800
16:36:07.177 [SDK回调] type=0x00, machineID=0, channelID=0, dataCount=200, bufferCount=12800
16:36:07.394 [SDK回调] type=0x00, machineID=0, channelID=0, dataCount=200, bufferCount=12800
16:36:07.614 [SDK回调] type=0x00, machineID=0, channelID=0, dataCount=200, bufferCount=12800
16:36:07.833 [SDK回调] type=0x00, machineID=0, channelID=0, dataCount=200, bufferCount=12800
16:36:08.052 [SDK回调] type=0x00, machineID=0, channelID=0, dataCount=200, bufferCount=12800
16:36:08.271 [SDK回调] type=0x00, machineID=0, channelID=0, dataCount=200, bufferCount=12800
16:36:08.490 [SDK回调] type=0x00, machineID=0, channelID=0, dataCount=200, bufferCount=12800
16:36:08.710 [SDK回调] type=0x00, machineID=0, channelID=0, dataCount=200, bufferCount=12800
16:36:08.943 [SDK回调] type=0x00, machineID=0, channelID=0, dataCount=200, bufferCount=12800
16:36:09.162 [SDK回调] type=0x00, machineID=0, channelID=0, dataCount=200, bufferCount=12800
16:36:09.366 [SDK回调] type=0x00, machineID=0, channelID=0, dataCount=200, bufferCount=12800
16:36:09.585 [SDK回调] type=0x00, machineID=0, channelID=0, dataCount=200, bufferCount=12800
16:36:09.804 [SDK回调] type=0x00, machineID=0, channelID=0, dataCount=200, bufferCount=12800
16:36:10.023 [SDK回调] type=0x00, machineID=0, channelID=0, dataCount=200, bufferCount=12800
16:36:10.257 [SDK回调] type=0x00, machineID=0, channelID=0, dataCount=200, bufferCount=12800
16:36:10.475 [SDK回调] type=0x00, machineID=0, channelID=0, dataCount=200, bufferCount=12800
16:36:10.679 [SDK回调] type=0x00, machineID=0, channelID=0, dataCount=200, bufferCount=12800
16:36:10.911 [SDK回调] type=0x00, machineID=0, channelID=0, dataCount=200, bufferCount=12800
16:36:11.128 [SDK回调] type=0x00, machineID=0, channelID=0, dataCount=200, bufferCount=12800
16:36:11.346 [SDK回调] type=0x00, machineID=0, channelID=0, dataCount=200, bufferCount=12800
16:36:11.565 [SDK回调] type=0x00, machineID=0, channelID=0, dataCount=200, bufferCount=12800
16:36:11.783 [SDK回调] type=0x00, machineID=0, channelID=0, dataCount=200, bufferCount=12800
16:36:12.001 [SDK回调] type=0x00, machineID=0, channelID=0, dataCount=200, bufferCount=12800
16:36:12.220 [SDK回调] type=0x00, machineID=0, channelID=0, dataCount=200, bufferCount=12800
16:36:12.438 [SDK回调] type=0x00, machineID=0, channelID=0, dataCount=200, bufferCount=12800
16:36:12.655 [SDK回调] type=0x00, machineID=0, channelID=0, dataCount=200, bufferCount=12800
16:36:12.872 [SDK回调] type=0x00, machineID=0, channelID=0, dataCount=200, bufferCount=12800
16:36:13.088 [SDK回调] type=0x00, machineID=0, channelID=0, dataCount=200, bufferCount=12800
16:36:13.304 [SDK回调] type=0x00, machineID=0, channelID=0, dataCount=200, bufferCount=12800
16:36:13.525 [SDK回调] type=0x00, machineID=0, channelID=0, dataCount=200, bufferCount=12800
16:36:13.744 [SDK回调] type=0x00, machineID=0, channelID=0, dataCount=200, bufferCount=12800
16:36:13.963 [SDK回调] type=0x00, machineID=0, channelID=0, dataCount=200, bufferCount=12800
16:36:14.182 [SDK回调] type=0x00, machineID=0, channelID=0, dataCount=200, bufferCount=12800
16:36:14.399 [SDK回调] type=0x00, machineID=0, channelID=0, dataCount=200, bufferCount=12800
16:36:14.617 [SDK回调] type=0x00, machineID=0, channelID=0, dataCount=200, bufferCount=12800
16:36:14.835 [SDK回调] type=0x00, machineID=0, channelID=0, dataCount=200, bufferCount=12800
16:36:15.069 [SDK回调] type=0x00, machineID=0, channelID=0, dataCount=200, bufferCount=12800
16:36:15.273 [SDK回调] type=0x00, machineID=0, channelID=0, dataCount=200, bufferCount=12800
16:36:15.507 [SDK回调] type=0x00, machineID=0, channelID=0, dataCount=200, bufferCount=12800
16:36:15.738 [SDK回调] type=0x00, machineID=0, channelID=0, dataCount=200, bufferCount=12800
16:36:15.957 [SDK回调] type=0x00, machineID=0, channelID=0, dataCount=200, bufferCount=12800
16:36:16.175 [SDK回调] type=0x00, machineID=0, channelID=0, dataCount=200, bufferCount=12800
16:36:16.394 [SDK回调] type=0x00, machineID=0, channelID=0, dataCount=200, bufferCount=12800
